1499.3,546.75
1482.3,542.75
1467.3,542.75
1446.3,541.75
1434.3,541.75
1419.3,539.75
1414.3,529.75
1406.3,514.75
1402.3,494.75
1397.3,481.75
1394.3,466.75
1407.3,455.75
1418.3,441.75
1430.3,428.75
1436.3,421.75
1427.3,392.75
1427.3,374.75
1425.3,350.75
1430.3,332.75
1442.3,312.75
1448.3,296.75
1466.3,283.75
1483.3,277.75
1507.3,269.75
1528.3,269.75
1557.3,269.75
1575.3,269.75
1605.3,271.75
1636.3,278.75
1670.3,292.75
1692.3,310.75
1700.3,329.75
1710.3,352.75
1717.3,370.75
1723.3,385.75
1722.3,397.75
1737.3,406.75
1748.3,406.75
1761.3,415.75
1764.3,427.75
1773.3,439.75
1778.3,448.75
1777.3,458.75
1772.3,471.75
1772.3,480.75
1761.3,481.75
1745.3,481.75
1731.3,492.75
1721.3,505.75
1713.3,520.75
1703.3,535.75
1701.3,561.75
1700.3,577.75
1689.3,581.75
1669.3,581.75
1654.3,576.75
1644.3,573.75
1629.3,570.75
1617.3,571.75
1607.3,565.75
1601.3,557.75
1582.3,554.75
1569.3,554.75
1549.3,554.75
1533.3,554.75
1519.3,549.75
1511.3,548.75
1499.3,546.75
