542,383
546.5,371
550,362.5
550,353.5
552.5,346
565.5,341.5
581.5,342
603,344
614,342
633,343.5
658.5,343.5
682.5,338
697.5,329.5
715.5,320
725.5,313
733,308
749.5,305
761,305
776,306.5
785,302.5
804.5,328
809,337.5
808,347.5
811,363.5
813,373
815,387
814.5,397
816,408.5
823,421
827,430.5
826.5,442.5
821.5,459.5
815.5,467
808,467
802,469
789,481
779.5,486.5
772,490.5
756,499
744.5,508
741,515.5
741,523.5
742.5,532.5
743,539
730.5,542
720,544.5
709.5,544.5
695,549.5
679,545
671,541
666,534.5
661,528
649,523.5
637.5,517
622,509.5
603,498
589.5,487
576,479
559,474.5
547.5,470
533.5,464
517.5,459
504,451.5
498,447.5
492,428
489.5,410
497.5,403.5
506.5,398.5
515.5,394.5
521.5,387.5
529.5,384.5
540,385
542,385.5
542,383
