1079,381
1046,372
1025,368
1020,344
1021,329
1035,305
1039,279
1047,262
1077,254
1091,242
1106,237
1117,237
1153,229
1192,222
1206,214
1244,192
1277,180
1293,171
1310,163
1324,160
1351,163
1361,163
1384,167
1395,172
1403,182
1403,192
1427,211
1432,225
1434,239
1436,252
1439,269
1441,282
1448,296
1453,312
1455,321
1449,342
1432,361
1426,373
1405,381
1390,391
1378,396
1363,402
1354,405
1343,408
1336,410
1330,413
1324,417
1324,425
1321,441
1321,464
1301,469
1284,473
1268,475
1255,475
1242,473
1232,469
1222,473
1197,480
1180,484
1166,496
1146,502
1121,508
1107,493
1093,472
1079,449
1078,433
1079,417
1079,404
1079,381
